job_id,job_name,company_name,job_location,job_link,query
47239908dd61e925,Cloud Security Engineer,IT SQUAREHUB GLOBAL SERVICES CORP.,Cebu City,https://ph.indeed.com/viewjob?jk=47239908dd61e925,data engineer
b31c075be3e151f0,Cadet Engineer,"Univet Nutrition and Animal Healthcare Company,...",Cebu City,https://ph.indeed.com/viewjob?jk=b31c075be3e151f0,data engineer
88cc5fafbb407e6e,Application Engineer,"Eastman Industrial Supply, Inc.",Cebu City,https://ph.indeed.com/viewjob?jk=88cc5fafbb407e6e,data engineer
0cff10d6792effb1,Maintenance and Utility Engineer ( Danao City Cebu),Rose Ex Corporation,Danao,https://ph.indeed.com/viewjob?jk=0cff10d6792effb1,data engineer
40efde8826728577,Security Operations Engineer I,Dynata,Cebu,https://ph.indeed.com/viewjob?jk=40efde8826728577,data engineer
d028eeb87c8aeefa,Industrial Engineer (Patient Assistance Supervisor),Chong Hua Hospital,Cebu City,https://ph.indeed.com/viewjob?jk=d028eeb87c8aeefa,data engineer
ab2b286c0b6ce073,Hardware Electronics Engineer • PSO - HW & Lifecycle Engineering,NCR Atleos,Cebu City,https://ph.indeed.com/viewjob?jk=ab2b286c0b6ce073,data engineer
1568297b6b0a4b5e,Cost Estimator,Philkonst Global Corporation,Lahug,https://ph.indeed.com/viewjob?jk=1568297b6b0a4b5e,data engineer
20f7962598aed9b2,Test/Repair Operator,Teradyne,Lapu-Lapu City,https://ph.indeed.com/viewjob?jk=20f7962598aed9b2,data engineer
4d63d51ec9b70144,Backend Lead Developer,MTECH Labs Inc.,Hybrid remote in Cebu City,https://ph.indeed.com/viewjob?jk=4d63d51ec9b70144,data engineer
1fc2dfa4596add1c,IT Specialist (with Vicidial),Ameeratel Inc.,Cebu City,https://ph.indeed.com/viewjob?jk=1fc2dfa4596add1c,data engineer
5e2817fb430f527c,SmartPlant Foundation Solution Engineer,TecSurge,Cebu,https://ph.indeed.com/viewjob?jk=5e2817fb430f527c,data engineer
8a63599f1d10defb,HW Engineer • PSO - HW & Lifecycle Engineering,NCR Atleos,Cebu City,https://ph.indeed.com/viewjob?jk=8a63599f1d10defb,data engineer
eb193702430a8fed,IT Specialist with Vicidial,AmeeraTel,6000,https://ph.indeed.com/viewjob?jk=eb193702430a8fed,data engineer
7122e574102bf168,ISP Network Engineer,Rise,Cebu City,https://ph.indeed.com/viewjob?jk=7122e574102bf168,data engineer
0cd13ec003c0c455,Artificial Intelligence Engineer- MinebeaMitsumi Global Support Center (Philippines),MinebeaMitsumi Cebu,Danao,https://ph.indeed.com/viewjob?jk=0cd13ec003c0c455,AI Engineer
